SAMPLE_ID,lon,lat,LOI_PCT,PH_CACL2,DATASOURCE,DATASET,OBJECTID,A_PHLOI_ID,X_ITM,Y_ITM,GLOBALID
580001A,-7.430089997941155,55.01745737854798,10.6,4.75,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,1,IE_GSI_GSNI_ApHLOI_1,636448.29,919025.992,{B54688F9-86A6-4396-A970-96C066D09FAE}
580002A,-7.324254698566587,55.282600126826544,8.040000000000001,5.79,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,2,IE_GSI_GSNI_ApHLOI_2,642931.186,948597.613,{CFD088E8-0A3D-4865-9605-798B9C321A5D}
580004A,-7.487426822323959,55.28293682666746,25.0,4.19,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,3,IE_GSI_GSNI_ApHLOI_3,632564.435,948546.724,{C99F885A-8407-45D8-9C36-433C2A8DE54D}
580005A,-7.2717221877255485,55.27155494175468,72.8,3.66,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,4,IE_GSI_GSNI_ApHLOI_4,646281.445,947401.837,{0396750A-BF4C-472A-BA55-DDB386AD1952}
580006A,-7.010071879134758,55.25182823587559,17.8,4.63,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,5,IE_GSI_GSNI_ApHLOI_5,662939.776,945411.12,{DD4381A1-DD0B-40A8-BF9E-76A12EDC5293}
580007A,-7.299978361106915,55.073808924033,60.5,3.45,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,6,IE_GSI_GSNI_ApHLOI_6,644706.573,925373.561,{215196FE-8732-4A0E-821A-8AA82BB4D135}
580008A,-7.260683601387102,55.06705509930114,18.0,4.71,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,7,IE_GSI_GSNI_ApHLOI_7,647224.022,924647.695,{363DA16D-F3C3-4525-B54D-96511BE84975}
580009A,-7.253392575734357,55.28920229794042,61.1,3.41,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,8,IE_GSI_GSNI_ApHLOI_8,647425.214,949378.404,{0F6CA9D7-78F9-4016-8477-FA44D5304AB5}
580010A,-7.4815498121792565,55.23281784415903,71.10000000000001,3.67,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,9,IE_GSI_GSNI_ApHLOI_9,632979.287,942970.91,{75C371B5-7FCE-479F-BFB9-CF19FA32C9C9}
580011A,-7.409017775470201,55.285528298195345,73.9,3.33,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,10,IE_GSI_GSNI_ApHLOI_10,637543.36,948874.605,{F573BBF0-1A22-4CED-BA6E-0624220FAC71}
580013A,-7.292012637855622,55.35660204156203,55.300000000000004,3.49,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,11,IE_GSI_GSNI_ApHLOI_11,644895.838,956854.8300000001,{CF3FC8A3-38BF-4131-9748-07644B4570BD}
580014A,-7.222669354574531,55.3028433090997,11.1,5.29,Geological Survey Ireland (GSI),58xxxxA-65xxxxA_Shallow_Topsoil_Download_v1.1,12,IE_GSI_GSNI_ApHLOI_12,649359.805,950918.057,{7363E0F0-9A49-428F-903D-AE1C10BDE93D}
